# Placementy YT kanałów w Demand Gen (26.04–11.06) – kandydaci do wykluczenia
# Wygenerowane 11.06 na review 12–14.06. NIC nie wykluczone – decyzja po danych konwersji.
# channel_url	name	impressions	clicks	cost_pln
youtube.com/channel/UCpRC70yPrg3uFA6P8T8V5Zw	Behind the Veil	361	9	2
youtube.com/channel/UCFpN5ArniWnAhaA1SJxOGrQ	Yoshi, ale Gry	358	14	1
youtube.com/channel/UC-BRUJOtblqGrftY6oRcOZw	Blowek	358	12	2
youtube.com/channel/UCI93pMAbzgYnZzT5-oa2cnA	Sajmon Plus	358	18	2
youtube.com/channel/UCJAIMS74RP657SEDVPDMCUw	Przygody Slav	357	25	2
youtube.com/channel/UC43KzejXgMUnv5TGqu4Rv1w	GPlay: Minecraft Jest Nasz!	357	21	2
youtube.com/channel/UCR2P3OOB7cCbQq-ASTLRQ8Q	Majki Roblox	347	9	2
youtube.com/channel/UCme4ZOv65uzGADXuvtHkSvA	Langusta na palmie	346	13	2
youtube.com/channel/UC0rdUtnXyfzgQQz25wrkbSQ	Disco Polo Lajf	345	8	1
youtube.com/channel/UCls-R6V4Bnba40-oT0GDNNg	audyt obywatelski	342	17	1
youtube.com/channel/UCbS8vsbx1MSl1aGrja2-4kg	JASNOWIDZ Krzysztof Jackowski Official	341	22	1
youtube.com/channel/UC_Vj48ASN3FgEPqwnm3vpeQ	przemekEXTRAgames	341	11	2
youtube.com/channel/UC2d7aAgyCpLYYxYjRX8ckFw	Pupcik 	340	7	1
youtube.com/channel/UCJZam2u1G0syq3kyqrCXrNw	PrestonPlayz	336	13	2
youtube.com/channel/UC70Dib4MvFfT1tU6MqeyHpQ	Preston	334	24	2
youtube.com/channel/UCyhCODAyJCop2D2xYvyYAtw	Doknes	331	11	1
youtube.com/channel/UCK8CE7fDIzBaKHasaxA8yqA	Maverick Pablos - Topic	329	8	2
youtube.com/channel/UCTAAUHQl0sN6w0RpAUzs-Bg	Bądź Na Bieżąco	329	7	1
youtube.com/channel/UCmpb1pXlmEPsC0Az4CTOS4w	TEUSZ	329	7	1
youtube.com/channel/UCVStO_hDGjl3W2lYSH7FtFA	Wegorz	329	19	2
youtube.com/channel/UC5CWMFESgw6WSqY8N_SYt6A	Torii Trzy	329	11	1
youtube.com/channel/UCR1f2TZvlO3LTumzEW9oxOA	Osuch	327	14	1
youtube.com/channel/UCejxuQKVl8duHl4FIaUUntQ	REMBOL	325	12	1
youtube.com/channel/UCvliEppWibW6wjerKuBXViA	czvjnik	324	17	1
youtube.com/channel/UCJF0EThB7y6XUBemC7OMOgA	Toca Polska	318	8	1
youtube.com/channel/UCQp6UYR3zS8-154Fn0XcsdA	Vlad	318	19	2
youtube.com/channel/UCMBGXf4gw91Z-lmIE7f2G8A	Wojan	316	12	1
youtube.com/channel/UC1Fc8RIaSgmsLmmUKwHECvA	Bungee	313	11	1
youtube.com/channel/UCZ73pHkyZH1UkfhL4BmFZtw	SHIIANAH gry	312	21	1
youtube.com/channel/UCd0Grf-W3B8fcLjQOl91zmw	Szalony Podcast	310	18	2
youtube.com/channel/UCNLkwD0yYr7C6-5by4tdpFQ	Pan z Lombardu	310	14	1
